seoul	jeju
이제는의 초가집하고 옛날 초가집이 틀리다는 말 아니면 요 지 요새 집하고 옛날이 틀리다는 말?	요지금의 초가집하고 옛날 초가집이 틀리다는 말 아니면 요 지 요새 집하고 옛날이 틀리다는 말?
그냥 모양을 빼면 어떨까요? 이제는은 다른 옛날집과	그냥 모냥을 빼면 어떵허여? 요지금광은 토난 옛날집과
그 말은 아닌거 같은데 지금 집하고 옛날 집은 틀린데 옛날엔 초가집이었어 그런 뜻인 것 같은데	그 말은 아닌거 닮은데 지금 집하고 옛날 집은 틀린데 옛날엔 초가집이었어 그런 뜻인 것 같은데
요즘 이제는은 	요즘 요지금광은 
이제는은 다른 옛날집 초가집이라	요지금광은 토난 옛날집 초집이라
초가집 초가집	초집 초집
돼지우리 고맙습니다	통시 고맙수다
정낭 초가집	정낭 초집
한 번 더 돼지우리 고맙습니다 정낭 초가집	한 번 더 통시 고맙수다 정낭 초집
이후에도 쭉 제주어에 관심을 많이 가져서 잘 지켜내자 그러면 잘 가	후제에도 쭉 제주어에 관심을 하영 가졍 잘 지켜내게 게민 잘 가
아니 후에 아니 뭐 아까	아니 후제 아니 뭐 아까
이 후에도해 이 후에도	일후제에도해 일후제에도
이 후에도 쭉 제주어에 관심을 많이 가져서	일후제에도 쭉 제주어에 관심을 하영 가졍
잘 지켜내자	잘 지켜내게이
잘 아니 잘 지켜내 잘 지키자	잘 아니 잘 지켜내 잘 직호게이
잘 지키자	잘 직호게이
직 직 직 지키자	직 직 직 직호게이
이후에도 쭉 제주어에 응 아니다	일후제에도 쭉 제주어에 응 아니다
이후에도 쭉 제주어에 관심을 많이 가져서 잘 지키자 그러면 잘 가	일후제에도 쭉 제주어에 관심을 하영 가졍 잘 직호게이 게민 잘 가
많이을 없애야 없애면 어떨까	하영을 없애야 없애면 어떨까
이후에도 쭉	일후제에도 쭉
아니 이거 앞에 난 쭉이 이상한데 이 후에 쭉이 연결이 된거 아니야?	아니 이거 앞에 난 쭉이 이상한디 일 후제에 쭉이 연결이 된거 아니야?
이후에도 제주어에 관심을 많이	일후제에도 제주어에 관심을 하영
아니 많이은 놓고 쭉을 뺴	아니 하영은 놓고 쭉을 뺴
응 자 이 후에도 제주어에 관심을 많이 가져서 잘 지키자 그러면	응 자 일 후제에도 제주어에 관심을 하영 가졍 잘 직호게이 게민
쭉이 중간에 들어가버려서 어색한거 저쪽에 갔으면 괜찮을거 같은데	쭉이 중간에 들어가부난 어색한거 저쪽에 가시믄 괜찮을거 같은데
이후에도 쭉 제주어에 관심을 많이 가져서	일후제에도 쭉 제주어에 관심을 하영 가졍
잘 지키자	잘 직호게이
쭉 잘 지키자	쭉 잘 직호게이
자 이후에도 제주어에 관 아니	자 일후제에도 제주어에 관 아니
이후에도 제주어에 관심을 많이 가져서 잘 지키자	일후제에도 제주어에 관심을 하영 가졍 잘 직호게이
이후에도 제주어에 관심을 많이 가져서	일후제에도 제주어에 관심을 하영 가졍
잘 지키자 그러면 안녕	잘 직호게이 게민 안녕
또 없어?	또 언?
나 쓸 거밖에 없어	나 쓸 거밖에 언
 너 할 거야?	 너 할 거?
조금만 찢으면 될거 같아	조금만 찢으면 될거 닮아
어떻게 찢어볼까?	어떵 찢어볼까?
그렇게 차이 안 나도 있잖아	그렇게 차이 안 나도 있네
원래 눈 예쁜 사람들도 막 하잖아 그 미세한 차이 때문에	원래 눈 예쁜 사람들도 막 하네 그 미세한 차이 때문에
아이유도 이번에 뭔가 보니까 트임한 거 같아	아이유도 이번에 뭔가 보니까 트임한 거 닮아
아이유는 트림했어 안 한게 아니라 걔는 했어	아이유는 트림핸 안 한게 아니라 가이는 핸
근데 진짜 막 연예인들 티 안 나는 트임들 있잖아	근데 진짜 막 연예인들 티 안 나는 트임들 있네
그런 거 한 거 같아	그런 거 한 거 닮아
야 왜 이렇게 피부 떠?	야 왜 이렇게 피부 뜨맨?
여기 조명 때문에 그래 보이는거 아니야?	여기 조명 때문에 그래 보이는거 아니?
야 왜 저렇게 하얘?	야 왜 저렇게 허얘?
좀 하얀데	좀 허연데
 여기서 화장해?	 여기서 화장하맨?
그만큼? 햄스터 같아.	그자락? 햄스터 닮아.
야 나봐봐 아 괜찮아	야 나봐봐 아 괜춘
아 나 피부 완전 망했어	아 나 피부 완전 망핸
아니 너네 다 눈썹 예쁘다 #이	아니 너네 다 눈썹 예쁘다 이
옛날에 그거했었어	옛날에 그거했언
옛날에 문신했었어	옛날에 문신했언
나 잠들면 새벽에 갈 거 같아	나 잠들면 새벽에 갈 거 닮아
는 포토그래퍼하는 거야?	는 포토그래퍼하는 거?
아 그래?	아 기?
 배우고 있어	 배우고 인
시시콜콜 맞지 않아?	시시콜콜 맞지 안?
아니래	아니랜
우유 배급이래	우유 배급이랜
어떻게 해줄 거야 ?	어떻게 해줄 거 ?
화장해준다며	화장해준다매
어 야 티 안 나 지금	어 야 티 안 나맨 지금
너 볼터치 있어?	너 볼터치 이서?
나 이걸로 할 때도 있고 #이	나 이걸로 할 때도 있고 이
응 새로 샀어	응 새로 산
그만큼 아니야	그자락 아니
아 나도 집 들렸다가 옷 갈아입고 나가야겠어	아 나도 집 들렸다가 옷 갈아입고 나가야겐
옷 싹 싸 오자	옷 싹 싸 오게
이거 계속 쭉 있어?	이거 계속 쭉 인?
 눈썹 뭐했어?  눈썹	 눈썹 뭐핸?  눈썹
너 네 집 가봤어?	너 네 집 가봔?
진짜 두 시간 말하니까 할 말이 떨어지지 않아?	진짜 두 시간 말하니까 할 말이 떨어지지 안?
 너네 집 주소 뭐야?	 너네 집 주소 뭐?
우리 집 개 추운데?	우리 집 개 추운디?
나 근데 화장해도 티 잘 안 나잖아 원래	나 근데 화장해도 티 잘 안 나네 원래
이거 립스틱 할머니 거 아니야?	이거 립스틱 할머니 거 아니?
끝난 거 아니였어?	끝난 거 아니연?
뭔말 지금 녹음되고 있어?	뭔말 지금 녹음되고 인?
어 되고 있어	어 되고 인
헐 누가 했어?	헐 누가 핸?
 너 몇 시에 뭐 어떻게 할 거야? 오빠	 너 몇 시에 뭐 어떻게 할 거? 오빠
막 늦게까지 먹지 말자	막 늦게까지 먹지 말게
신이 나면 있잖아 #이 늦게까지 안 놀 수가 없어	신이 나면 있네 이 늦게까지 안 놀 수가 언
어 오빠 나 집 왔어 이렇게 한 다음	어 오빠 나 집 완 이렇게 한 다음
너 걸린 적 있어?	너 걸린 적 인?
한 번도 없어	한 번도 언
아 나 청소기를 들고 와야 되는데 들고 올 방법이 없어	아 나 청소기를 들고 와야 되는데 들고 올 방법이 언
갈지 안 갈지 모르겠어	갈지 안 갈지 모르겐
어 야  너 쌍수한거 엄마 봤어?	어 야  너 쌍수한거 엄마 봔?
뭐래?	뭐랜?
아무 말도 안 하던데? 관심이 없어 그리고 아빠가 완전 못생겨졌다고 뭐라고 했어	아무 말도 안 하던데? 관심이 언 그리고 아빠가 완전 못생겨졌다고 뭐라고 핸
지금은 못생길 때지 지금은 붓기 있잖아 이렇게 하는 거야?	지금은 못생길 때지 지금은 붓기 있잖아 이렇게 하는 거?
또렷해지긴 했어 #이	또렷해지긴 핸 이
근데 여기가 막 부어있지 않아?	근데 여기가 막 부어있지 안?
눈은 부어 있어	눈은 부어 이서
괜찮지 않아?	괜찮지 안?
몰라 요즘 서귀포 유령도시라서 #이	몰라 요즘 서귀포 유령도시라부난 이
그거 뭐야?	그거 뭐?
쟤 눈 보다가 내 눈 보면 개 작아 보이겠어 내 눈도 작은 눈은 아닌데	쟤 눈 보다가 내 눈 보면 개 작아 보이크라 내 눈도 작은 눈은 아닌데
머리 묶을 거야? ?	머리 묶을 거? ?
옛날엔 입술만 찐하게 하면 됐잖아 #이	옛날엔 입술만 찐하게 하면 됐잖아 이
지금 눈 너무 커져가지고 #이	지금 눈 너무 커져가지고 이
갑자기 놀 놀기 싫어져	갑자기 놀 놀기 싫어지맨
 알아보겠다	 알아보켜
너 뭐했어? 이렇게 할 거 같아.	너 뭐핸? 이렇게 할 거 닮아.
모르는 애들 있으면 상관 없어	모르는 애들 있으면 상관 언
와 진짜 내 주위에도 좀 재밌는 아이 있었으면 좋겠다 남자아이	와 진짜 내 주위에도 좀 재밌는 아이 있었으면 좋으켜 남자아이
없어	어서
아 존나 재밌다 좀 이런 스타일 있잖아	아 존나 재밌다 좀 이런 스타일 있네
 재밌지 않아?	 재밌지 안?
오빠는 오빠라서	오빠는 오빠라부난
진짜 우리 또래는 재미있는 애가 없어 #이	진짜 우리 또래는 재미있는 애가 언 이
 오늘 뭐 입을 거야?	 오늘 뭐 입을 거?
왜 마음에 안 들었어? 예뻐.	무사 마음에 안 들언? 예뻐.
솔직히 용기가 없어서 못하겠어 쌍수.	솔직히 용기가 없어서 못하겐 쌍수.
근데 원래 자기가 어릴 때부터 그 입이래?	근데 원래 자기가 어릴 때부터 그 입이랜?
근데 걔 입장에선 진짜 안 했는데 억울할 수도 있는 거잖아? 만약에 안 한거면	근데 걔 입장에선 진짜 안 했는데 억울할 수도 있는 거네? 만약에 안 한거면
믿기는 믿어주기는 하는데 #이	믿기는 믿어주기는 하는데 이
은 달라진 게 없어	은 달라진 게 언
뭐할 거야? 웜톤인데?	뭐할 거? 웜톤인데?
 찾는 사람들 개많아 우리 없잖아	 찾는 사람들 개많아 우리 없네
 공항에 있는데 공항 오면 안 사.	 공항에 이신디 공항 오면 안 사.
이거랑 섞여서 예쁜 거 아니야?	이거랑 섞여서 예쁜 거 아니?
근데 이러고 놀 수 있어? 다음에 놀아줄 거야?	근데 이러고 놀 수 인? 다음에 놀아줄 거?
아이 그건 상관없어 그건 다음날이잖아	아이 그건 상관언 그건 다음날이네
왜냐하면 이 모 나는 나 놀러 다니는 거 정말 좋아하는데	왜냐하면 이 모 나는 나 놀러 다니는 거 되게 좋아하는데
그런데 이건 티가 안 나잖아?	그런데 이건 티가 안 나네?
눈은 티나니깐 놀러 나가기가 싫어	눈은 티나니깐 놀러 나가기가 싫어져
나 팔했어 너 몰라?	나 팔핸 너 몰라?
많이 했어	많이 핸
얼마에 했어?	얼마에 핸?
완전 많이 빠졌어 나 완전 많이 빠져.	완전 많이 빠젼 나 완전 많이 빠져.
목 폴라티 이런 거 있잖아	목 폴라티 이런 거 있네
근데 이젠 입을 수 있어	근데 이젠 입을 수 인
너네가 안 티난다고 해서 완전 쳐발랐잖아	너네가 안 티난다고 해서 완전 쳐발랐네
너가 그게 익숙해서 그런거 아니야? 맨날 필라테스 하고 화장 안하니깐?	너가 그게 익숙해서 그런거 아니? 맨날 필라테스 하고 화장 안하니깐?
고모가 나보고 화장 좀 하고 오래 제발	고모가 나보고 화장 좀 하고 오랜 제발
다른 선생님들 다 쌩얼인데	다른 선생님들 다 쌩얼인디
조금 있다 운전할 수 있겠어? 내가 운전해줄까?	조금 있다 운전할 수 있겐? 내가 운전해줄까?
뭐 커피라도 마시자	뭐 커피라도 마시게
넘 진하게 했어?	넘 진하게 핸?
쌩얼보단 덜 티나지 않아?	쌩얼보단 덜 티나지 안?
그 정도 뺐는데	그 정도 빼신디
그러니까 활동량이 많아서 그런 거 아니야?	그러니까 활동량이 많아서 그런 거 아니?
나 지금 무대화장한 거 같아	나 지금 무대화장한 거 닮아
왜 이렇게 진하게 했어? 그냥 연하게 하는게 나을 거 같아 아이라이너로	왜 이렇게 진하게 핸? 그냥 연하게 하는게 나을 거 닮아 아이라이너로
진하게 한게 아니야 원래 평소에 한 평소에 하던대로 한 거야	진하게 한게 아니 원래 평소에 한 평소에 하던대로 한 거
그래?	기?
그런데 이것 때문에 진하게 보일 수 밖에 없어 지금은	그런데 이것 때문에 진하게 보일 수 밖에 언 지금은
야 괜찮아	야 괜춘
원래 이랬어?	원래 이랜?
원래  눈화장인데 이제 쌍수해서 강렬해 보이는 거야	원래  눈화장인데 이제 쌍수해서 강렬해 보이는 거
사람들 다 그런대	사람들 다 그런댄
 보다가 내 눈 보니까 존나 개작아 보여 지금	 보다가 내 눈 보니까 존나 개작아 보이맨 지금
사람들이 아 호박즙을 괜히 먹었구나 이렇게 말하는 거야	사람들이 아 호박즙을 괜히 먹었구나 이렇게 말하는 거
야 호박즙 그렇게 효과 없대	야 호박즙 그렇게 효과 없댄
그냥 #이 자연스럽게 빠지는게 나아 즙 막 즙 먹고 빠지는 거보다	그냥 이 자연스럽게 빠지는게 나아 즙 막 즙 먹고 빠지는 거보다
우리 녹음하고 있어 지금	우리 녹음하고 인 지금
많이 뭘 많이 들었어#이	많이 뭘 많이 들언이
잠들었어	잠들언
오빠 왜 혼자 있어?	오빠 왜 혼자 인?
개칼퇴했어.	개칼퇴핸.
다시 오는 거야?	다시 오는 거?
서귀포 같이 넘어갈 거야	서귀포 같이 넘어갈 거
 옷 갈아입고 서귀포 넘어갈 거야	 옷 갈아입고 서귀포 넘어갈 거
아니 근데 같이 넘어갈 거야	아니 근데 같이 넘어갈 거
같이 넘어갈 거야	같이 넘어갈 거
도 진짜 예뻐졌어#이	도 진짜 예뻐젼이
서귀포에 이쁜 애들 진짜 많은데 잘생긴 애들은 없어	서귀포에 이쁜 애들 진짜 많은데 잘생긴 애들은 어서
남자들은 관리를 안해서	남자들은 관리를 안해부난
이마는 자연스럽지 않아? 많이 자연스러워졌지 않아?	이마는 자연스럽지 안? 많이 자연스러워졌지 않아?
아직 많이 부어 있다 #이 이러는 거야?	아직 많이 부어 있다 이 이러는 거?
일주일 후엔 아예 빠져있었을 거야	일주일 후엔 아예 빠져있었을 거라
나 완전 띵띵 부어	나 완전 띵띵 부으맨
나 이럴 땐 진짜 오빠랑 존나 헤어지고 싶어	나 이럴 땐 진짜 오빠랑 존나 헤어지고 심
아 우리 제주도 사투리로 말하자	아 우리 제주도 사투리로 말하게
야 참아라 #이	야 좀좀해라 이
조용해 있어	속솜해 이서
왜 계속 참아라 밖에 안 해?	왜 계속 좀좀해라 밖에 안 하맨?
뭐라고 하니? 뭐라고 말하니?	뭐랜 햄시니? 뭐랜 골암시니?
너네 정말 힘들게 산다 #이	너네 되게 힘들게 산다이 
내 핸드폰 어디 갔어?	내 핸드폰 어디 간?
걔 있을 때 그래서 치마입은 거 걸리면	가이 있을 때 그래서 치마입은 거 걸리면
좀 너무하긴 했어	좀 너무하긴 핸
차 버렸대. 안 된대.	차 부렀댄. 안된댄. 
그 다음에 하려고 하니까 안 된다고 하고	그 다음에 허젠 허난 안 된댄 허고이
차 버렸대.	차 부렀댄.
남자는 여자가 너무 많대.	남자는 여자가 너무 많댄.
남자는 저 받아주겠다고 했는데 여자는 숫자가 차버렸어.	남자는 저 받아주켔는디 여자는 숫자가 차부런.
